X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1702,1693,1537,-36.6,-84.7,-144.2,-353,-409,193,1
-378,-1751,-307,-5.2,-39.3,-157.7,-313,-479,212,1
-1208,-105,373,142.6,-41.2,-80.0,-287,-512,175,1
-1023,-251,-152,-54.2,-1.4,-60.8,-272,-528,175,1
-922,-283,-224,60.4,-5.0,-16.4,-269,-538,162,1
-996,111,-38,13.1,-4.6,-20.5,-264,-541,158,1
-962,-272,-76,38.1,-4.3,-22.4,-263,-544,152,1
-1045,43,-58,26.1,-10.4,-37.6,-248,-555,145,1
-1133,-204,-171,18.6,-24.0,-58.5,-243,-563,137,1
-1344,67,-202,1.1,-56.6,-94.1,-217,-576,126,1
-1585,39,-210,-10.6,-84.4,-134.9,-174,-602,115,1
-1959,332,-485,77.0,-106.4,-167.3,-111,-618,87,1
-1901,862,-60,25.4,-91.0,-191.8,-38,-625,53,1
-1079,-771,60,-81.1,-50.8,-151.9,42,-654,76,1
-207,64,-793,217.7,32.7,5.6,54,-628,37,1
98,878,150,121.3,85.9,99.8,6,-593,-12,1
-435,-15,-145,-9.2,146.4,207.7,-75,-590,-2,1
-770,403,85,1.9,181.6,269.1,-172,-547,22,1
-1998,149,-145,-99.4,198.5,311.9,-267,-490,74,1
-1998,-1095,148,-112.6,162.2,287.1,-343,-411,138,1
-1838,-1998,412,-149.5,102.4,146.3,-369,-347,197,1
-1969,-986,1176,17.0,-34.8,-103.6,-368,-357,194,1
-1860,957,1347,-88.4,-91.5,-179.1,-350,-418,173,1
-443,-1655,-30,-52.0,-29.2,-164.5,-315,-478,184,1
-1083,280,380,125.6,-32.9,-77.6,-287,-509,150,1
-1030,-197,-109,-52.7,-4.2,-56.7,-274,-527,140,1
-930,-38,-51,56.6,-10.2,-17.0,-271,-540,152,1
-989,-88,-14,-8.4,-7.0,-23.1,-270,-539,145,1
-986,-187,-42,43.9,-4.7,-18.8,-261,-536,136,1
-1088,35,-53,15.7,-12.3,-39.6,-250,-541,131,1
-1159,-176,-154,13.1,-30.9,-60.6,-239,-557,123,1
-1355,51,-99,3.2,-58.8,-90.9,-211,-579,106,1
-1624,68,-181,-10.3,-94.7,-135.5,-161,-601,110,1
-1982,273,-548,81.5,-116.2,-168.0,-113,-619,81,1
-1729,443,113,-6.2,-95.2,-190.7,-36,-621,34,1
-498,-553,-392,-19.8,-30.7,-134.3,42,-646,60,1
-162,565,-556,254.6,47.0,41.4,54,-626,28,1
-84,721,-106,11.9,133.9,103.3,-11,-588,-22,1
-635,-41,-92,-2.0,164.0,212.7,-100,-578,3,1
-1057,478,102,3.1,188.7,277.9,-209,-525,19,1
-1998,80,-160,-85.2,194.1,316.1,-299,-459,84,1
-1998,-1025,246,-157.9,145.8,258.7,-361,-392,159,1
-1801,-1998,445,-76.0,83.1,62.5,-378,-336,213,1
-1252,-166,41,-89.2,-75.3,-182.4,-367,-373,203,1
-1638,-569,-232,-304.0,-56.4,-231.9,-339,-438,196,1
-898,-1199,-331,85.6,-49.0,-146.5,-307,-499,199,1
-872,634,435,125.5,-31.1,-76.1,-278,-513,149,1
-1076,-637,-189,-66.0,0.2,-36.7,-280,-530,157,1
-936,12,-43,71.3,-2.4,-9.3,-273,-530,148,1
-983,-357,-153,-19.5,1.4,-20.4,-259,-534,134,1
-987,43,-105,52.2,1.1,-23.1,-252,-541,138,1
-1174,-174,-247,3.5,-23.8,-59.2,-252,-544,133,1
-1257,113,-164,40.3,-51.5,-79.8,-228,-557,104,1
-1590,134,57,-0.6,-80.9,-120.9,-186,-573,99,1
-1929,218,-318,11.3,-112.1,-162.7,-128,-606,78,1
-1998,1112,-669,117.2,-90.0,-193.0,-63,-614,35,1
-1460,-376,-371,-143.0,-78.8,-186.4,20,-633,53,1
-138,-248,-1028,130.6,29.7,-38.7,57,-636,44,1
30,1133,77,171.9,89.1,105.5,30,-599,-20,1
-573,67,-310,-31.6,157.9,196.6,-47,-584,-22,1
-864,359,86,21.4,180.4,271.8,-146,-555,0,1
-1927,322,-10,-89.1,206.5,320.0,-250,-476,66,1
-1998,-905,-19,-161.7,173.1,308.2,-346,-399,140,1
-1928,-1998,63,-149.1,106.9,144.1,-376,-345,211,1
-1671,-1476,716,5.6,-37.8,-119.1,-371,-362,218,1
-1903,966,1063,-34.7,-95.2,-190.6,-353,-413,175,1
-420,-1644,72,-72.2,-37.5,-166.8,-316,-486,195,1
