X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1997,1835,-891,261.6,-49.3,-90.5,-360,-420,172,2
27,597,-262,-113.8,56.4,105.9,-363,-414,170,2
-249,-617,-491,-78.2,147.4,318.5,-394,-321,229,2
-930,402,-257,125.3,221.9,437.0,-391,-176,308,2
-1998,-588,709,-52.5,256.3,415.8,-304,-31,379,2
-1887,-1998,1572,-148.6,43.9,110.3,-235,47,376,2
-340,-1998,-226,-163.5,-4.4,-135.0,-248,49,313,2
1184,140,295,591.3,-51.2,-252.9,-330,-35,315,2
-796,-1618,-539,-43.0,-70.0,-220.1,-365,-117,308,2
-1250,-547,-129,-8.3,-46.4,-90.7,-382,-156,300,2
-1998,333,239,-50.6,-41.2,-76.5,-390,-174,270,2
-1998,775,-627,147.9,-10.9,-93.8,-400,-214,279,2
-1692,727,-521,-139.3,-85.3,-246.1,-398,-281,258,2
-1998,-410,-861,104.1,-77.5,-307.5,-381,-393,215,2
-1998,1958,-823,188.9,-71.6,-106.6,-345,-450,169,2
249,250,-386,-143.7,58.4,110.0,-355,-439,173,2
-70,-447,-365,16.8,153.5,337.7,-390,-355,221,2
-904,872,11,117.8,239.8,442.7,-398,-216,301,2
-1998,-696,506,-123.4,249.0,425.1,-331,-66,393,2
-1998,-1998,808,-106.7,80.9,216.3,-239,46,379,2
-35,-1998,579,-166.6,-15.4,-103.9,-242,48,353,2
-1462,-1998,1998,287.0,-116.6,-245.9,-310,-7,323,2
-1397,-780,847,-48.3,-73.3,-247.2,-361,-95,344,2
-1337,-476,198,16.2,-38.0,-92.6,-373,-160,335,2
-1998,313,-4,-55.7,-40.6,-71.7,-388,-182,316,2
-1998,1509,-549,177.3,-17.2,-94.5,-399,-210,319,2
-1882,70,-366,-231.2,-109.5,-311.5,-391,-272,295,2
-1998,-62,-1449,143.8,-59.8,-316.8,-364,-425,252,2
-1985,1997,-704,366.8,-25.6,-128.1,-336,-464,185,2
529,673,0,-105.0,106.2,169.5,-355,-445,207,2
-366,-179,-267,-48.5,194.0,372.1,-392,-334,268,2
-1435,571,120,25.1,249.3,480.4,-377,-186,363,2
-1998,-1891,782,-220.0,211.3,415.8,-290,-31,401,2
-1417,-1998,1276,2.1,34.9,131.1,-227,38,401,2
-1172,-1998,-306,-224.2,-0.1,-175.4,-251,46,369,2
691,955,507,578.6,-51.1,-263.1,-320,-64,395,2
-396,-1714,-289,-52.0,-41.5,-180.4,-360,-143,372,2
-1530,-285,70,-8.7,-62.2,-66.7,-367,-181,368,2
-1959,396,-258,-32.3,-41.0,-72.7,-390,-204,330,2
-1981,1604,-125,156.0,-30.1,-101.9,-385,-238,331,2
-1660,81,-387,-170.1,-107.5,-276.1,-391,-299,312,2
-1794,297,-1319,200.2,-60.2,-251.0,-363,-408,281,2
-1998,1997,-797,226.3,-36.1,-93.3,-340,-455,195,2
32,282,-172,-164.5,37.4,138.6,-347,-449,223,2
-273,-732,-502,-5.7,129.5,386.6,-377,-350,272,2
-855,608,-113,114.1,239.6,470.8,-380,-205,324,2
-1998,-1810,879,-301.6,221.4,386.2,-302,-53,390,2
-1353,-1998,1550,4.4,27.7,129.9,-221,40,387,2
-1180,-1998,-99,-63.7,-14.2,-123.7,-233,58,360,2
1524,-106,561,432.8,-49.6,-233.3,-315,-26,355,2
-1351,-1634,-193,-17.5,-59.6,-224.2,-355,-111,356,2
-1266,-497,-11,14.7,-40.1,-104.5,-364,-167,352,2
-1998,256,355,-34.0,-34.7,-82.9,-385,-202,320,2
-1997,851,-371,154.7,-19.6,-86.0,-385,-249,319,2
-1816,369,-150,-241.6,-94.0,-248.5,-390,-294,299,2
-1866,-430,-1004,53.0,-73.6,-299.0,-366,-396,277,2
-1928,1882,-687,433.5,-71.8,-103.4,-345,-434,192,2
183,749,-239,-118.3,23.7,87.1,-347,-431,193,2
-151,-562,-469,-112.7,117.1,293.7,-383,-353,247,2
-707,327,-323,65.5,178.3,436.6,-382,-208,295,2
-1998,-452,299,-83.6,219.8,427.8,-320,-63,375,2
-1998,-1998,1002,-11.0,90.0,178.2,-230,28,385,2
-1078,-1998,697,-161.9,-22.8,-160.0,-237,40,379,2
488,423,958,505.1,-61.6,-238.9,-318,-52,366,2
-1019,-1431,0,-9.8,-66.0,-200.5,-362,-125,354,2
-1432,-522,-41,14.6,-47.3,-90.9,-375,-173,347,2
-1998,382,193,-31.2,-61.3,-64.9,-374,-196,316,2
-1588,930,-398,115.7,-29.1,-79.3,-385,-226,315,2
-1771,589,-571,-217.0,-92.8,-238.4,-386,-274,291,2
-1998,-150,-1246,71.8,-85.6,-303.9,-371,-370,258,2
-1968,1923,-584,334.1,-72.5,-144.2,-343,-436,189,2
125,559,-318,-149.5,23.3,59.4,-338,-456,181,2
-52,-528,-477,-118.8,109.7,275.6,-365,-390,234,2
-572,198,-382,66.7,178.8,421.1,-394,-264,292,2
-1998,158,312,-39.9,252.7,447.5,-349,-110,375,2
-1998,-1998,710,-247.6,107.0,232.7,-264,19,391,2
-277,-1998,1032,-124.2,-18.9,-58.7,-238,48,384,2
-330,-1998,636,108.8,-180.9,-387.4,-295,5,355,2
-1830,-485,373,-96.2,-93.8,-250.3,-357,-122,366,2
-1286,-447,106,72.0,-46.1,-93.8,-371,-174,345,2
-1998,379,448,-26.5,-63.3,-62.5,-384,-194,324,2
-1998,938,-616,102.3,-31.4,-83.1,-385,-219,307,2
-1763,791,-436,-131.8,-78.1,-211.4,-383,-276,281,2
-1998,-397,-829,38.2,-85.4,-320.6,-370,-379,265,2
-1445,1604,-733,336.2,-71.4,-141.4,-342,-449,191,2
185,679,-431,-157.3,26.5,61.9,-336,-456,200,2
-60,-523,-542,-123.6,113.1,289.3,-370,-388,248,2
-597,179,-416,84.4,183.9,443.3,-383,-246,303,2
-1998,90,261,-61.8,266.2,447.5,-331,-97,393,2
-1998,-1998,614,-158.6,133.9,290.7,-233,27,403,2
-278,-1998,454,-182.5,-12.3,-44.7,-228,51,382,2
-1616,-1998,1650,507.5,-96.1,-255.8,-302,-18,353,2
