X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-953,-178,-232,1.3,-1.7,0.3,-318,-297,82,0
-952,-180,-235,1.0,-1.6,0.4,-315,-303,74,0
-952,-179,-234,1.1,-1.6,0.5,-317,-298,86,0
-953,-180,-236,1.4,-1.6,0.6,-313,-303,77,0
-954,-178,-234,0.8,-1.7,0.4,-324,-302,91,0
-952,-181,-234,0.9,-1.7,0.4,-318,-299,79,0
-953,-177,-234,0.9,-1.7,0.5,-321,-303,77,0
-953,-181,-234,1.1,-1.6,0.4,-319,-298,74,0
-952,-179,-235,1.0,-1.6,0.7,-318,-299,83,0
-953,-178,-232,1.1,-1.6,0.5,-314,-299,87,0
-952,-178,-235,1.4,-1.4,0.4,-320,-298,86,0
-952,-179,-235,1.0,-1.5,0.2,-317,-304,90,0
-951,-179,-236,1.4,-1.6,0.3,-311,-300,85,0
-952,-178,-234,1.2,-1.7,0.2,-317,-299,87,0
-952,-180,-236,1.3,-1.6,0.3,-319,-299,93,0
-951,-179,-234,1.1,-1.4,0.4,-316,-306,86,0
-953,-177,-237,1.3,-1.5,0.5,-315,-299,82,0
-953,-180,-238,1.1,-1.7,0.2,-319,-302,79,0
-951,-179,-236,1.0,-1.9,0.3,-318,-302,85,0
-951,-180,-236,1.1,-1.9,0.5,-317,-300,91,0
-953,-178,-235,1.1,-1.8,0.5,-322,-296,100,0
-952,-182,-235,1.0,-1.6,0.4,-315,-306,99,0
-951,-180,-236,1.4,-1.6,0.6,-319,-303,80,0
-953,-179,-237,1.0,-1.6,0.6,-321,-298,85,0
-954,-179,-236,1.2,-1.7,0.4,-325,-302,83,0
-950,-180,-237,1.0,-1.6,0.4,-321,-299,90,0
-953,-176,-237,1.5,-1.6,0.3,-330,-307,93,0
-951,-180,-238,1.1,-1.8,0.1,-322,-305,92,0
-952,-181,-238,0.9,-2.1,0.2,-318,-305,80,0
-954,-181,-236,1.1,-2.2,0.4,-322,-304,90,0
-951,-179,-234,1.1,-2.1,0.5,-324,-304,88,0
-951,-181,-231,1.3,-1.6,0.7,-321,-297,85,0
-950,-178,-232,1.6,-0.9,0.7,-321,-299,79,0
