Log start on,2023-05-04 11:14:00
Feature,Accelerometer
Nodes,JAVI    @EA54C6, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
04/05/2023 11:14:00.270,31,JAVI    @EA54C6,118259,32F883FEFBFF,-1998,-381,-5,
04/05/2023 11:14:00.316,77,JAVI    @EA54C6,118265,C3F9EBFDE6FE,-1597,-533,-282,
04/05/2023 11:14:00.359,120,JAVI    @EA54C6,118271,19F9FA00F600,-1767,250,246,
04/05/2023 11:14:00.406,167,JAVI    @EA54C6,118277,56FB61FEB4FF,-1194,-415,-76,
04/05/2023 11:14:00.451,212,JAVI    @EA54C6,118284,EDFAC5FE5F00,-1299,-315,95,
04/05/2023 11:14:00.495,256,JAVI    @EA54C6,118290,EFFC0EFF5A00,-785,-242,90,
04/05/2023 11:14:00.541,302,JAVI    @EA54C6,118296,F9FD9BFE2700,-519,-357,39,
04/05/2023 11:14:00.586,347,JAVI    @EA54C6,118302,4CFF3D00F7FF,-180,61,-9,
04/05/2023 11:14:00.630,391,JAVI    @EA54C6,118309,7D0039005300,125,57,83,
04/05/2023 11:14:00.727,488,JAVI    @EA54C6,118315,BC012701D800,444,295,216,
04/05/2023 11:14:00.767,528,JAVI    @EA54C6,118321,3400CEFC0CFD,52,-818,-756,
04/05/2023 11:14:00.814,575,JAVI    @EA54C6,118327,77FC81FCB400,-905,-895,180,
04/05/2023 11:14:00.857,618,JAVI    @EA54C6,118334,ADFBEFFD4901,-1107,-529,329,
04/05/2023 11:14:00.902,663,JAVI    @EA54C6,118340,1CFBB2FC5E00,-1252,-846,94,
04/05/2023 11:14:00.946,707,JAVI    @EA54C6,118346,68F8F8FBFDFF,-1944,-1032,-3,
04/05/2023 11:14:00.993,754,JAVI    @EA54C6,118352,32F8AB013900,-1998,427,57,
04/05/2023 11:14:01.037,798,JAVI    @EA54C6,118359,BBF9D4FF26FF,-1605,-44,-218,
04/05/2023 11:14:01.081,842,JAVI    @EA54C6,118365,32F8FEFDF9FF,-1998,-514,-7,
04/05/2023 11:14:01.180,941,JAVI    @EA54C6,118371,ADF931FF28FF,-1619,-207,-216,
04/05/2023 11:14:01.220,981,JAVI    @EA54C6,118377,AEF84D006E01,-1874,77,366,
04/05/2023 11:14:01.262,1023,JAVI    @EA54C6,118384,54FB5BFD1BFF,-1196,-677,-229,
04/05/2023 11:14:01.308,1069,JAVI    @EA54C6,118390,C3FAC0FE5000,-1341,-320,80,
04/05/2023 11:14:01.355,1116,JAVI    @EA54C6,118396,D5FC62FF4C00,-811,-158,76,
04/05/2023 11:14:01.394,1155,JAVI    @EA54C6,118402,18FE1EFF6600,-488,-226,102,
04/05/2023 11:14:01.444,1205,JAVI    @EA54C6,118409,8CFFEAFFEEFF,-116,-22,-18,
04/05/2023 11:14:01.488,1249,JAVI    @EA54C6,118415,C100F6000000,193,246,0,
04/05/2023 11:14:01.533,1294,JAVI    @EA54C6,118421,4C003200D600,76,50,214,
04/05/2023 11:14:01.632,1393,JAVI    @EA54C6,118427,87FDC0FEC201,-633,-320,450,
04/05/2023 11:14:01.666,1427,JAVI    @EA54C6,118434,63FFC2F9EA00,-157,-1598,234,
04/05/2023 11:14:01.710,1471,JAVI    @EA54C6,118440,0EFD00FF8E00,-754,-256,142,
04/05/2023 11:14:01.757,1518,JAVI    @EA54C6,118446,3BFA0DFC2D00,-1477,-1011,45,
04/05/2023 11:14:01.802,1563,JAVI    @EA54C6,118452,BDF989FDA4FF,-1603,-631,-92,
04/05/2023 11:14:01.847,1608,JAVI    @EA54C6,118459,E6F83700B200,-1818,55,178,
04/05/2023 11:14:01.890,1651,JAVI    @EA54C6,118465,3AF981FF73FF,-1734,-127,-141,
04/05/2023 11:14:01.937,1698,JAVI    @EA54C6,118471,32F82AFEEAFF,-1998,-470,-22,
04/05/2023 11:14:01.982,1743,JAVI    @EA54C6,118477,09F9A8FF25FF,-1783,-88,-219,
04/05/2023 11:14:02.077,1838,JAVI    @EA54C6,118484,32F80A007501,-1998,10,373,
04/05/2023 11:14:02.117,1878,JAVI    @EA54C6,118490,F0FA11FE66FF,-1296,-495,-154,
04/05/2023 11:14:02.162,1923,JAVI    @EA54C6,118496,9EFB51FE2F00,-1122,-431,47,
04/05/2023 11:14:02.207,1968,JAVI    @EA54C6,118502,9DFCE9FE5C00,-867,-279,92,
04/05/2023 11:14:02.251,2012,JAVI    @EA54C6,118509,41FED9FE2300,-447,-295,35,
04/05/2023 11:14:02.299,2060,JAVI    @EA54C6,118515,98FF30000000,-104,48,0,
04/05/2023 11:14:02.342,2103,JAVI    @EA54C6,118521,650048001E00,101,72,30,
04/05/2023 11:14:02.389,2150,JAVI    @EA54C6,118527,93014F019B00,403,335,155,
04/05/2023 11:14:02.434,2195,JAVI    @EA54C6,118534,9AFD98FDE5FD,-614,-616,-539,
04/05/2023 11:14:02.531,2292,JAVI    @EA54C6,118540,3CFF9DFB5F01,-196,-1123,351,
04/05/2023 11:14:02.569,2329,JAVI    @EA54C6,118546,9CFD10FFC200,-612,-240,194,
04/05/2023 11:14:02.611,2372,JAVI    @EA54C6,118552,41FA32FDD300,-1471,-718,211,
04/05/2023 11:14:02.656,2417,JAVI    @EA54C6,118559,5AFAA5FD4800,-1446,-603,72,
04/05/2023 11:14:02.702,2463,JAVI    @EA54C6,118565,AEF905FE3EFF,-1618,-507,-194,
04/05/2023 11:14:02.747,2508,JAVI    @EA54C6,118571,55F8670084FF,-1963,103,-124,
04/05/2023 11:14:02.793,2554,JAVI    @EA54C6,118577,33F8BAFE3300,-1997,-326,51,
04/05/2023 11:14:02.839,2600,JAVI    @EA54C6,118584,1AF9F3FE29FF,-1766,-269,-215,
04/05/2023 11:14:02.884,2645,JAVI    @EA54C6,118590,33F816007401,-1997,22,372,
04/05/2023 11:14:02.984,2745,JAVI    @EA54C6,118596,E2FAF2FD6AFF,-1310,-526,-150,
04/05/2023 11:14:03.021,2782,JAVI    @EA54C6,118602,CCFAC3FE7F00,-1332,-317,127,
04/05/2023 11:14:03.063,2824,JAVI    @EA54C6,118609,53FC2EFFC000,-941,-210,192,
04/05/2023 11:14:03.106,2867,JAVI    @EA54C6,118615,2FFE72FE4F00,-465,-398,79,
04/05/2023 11:14:03.151,2912,JAVI    @EA54C6,118621,E8FE06009BFF,-280,6,-101,
04/05/2023 11:14:03.198,2959,JAVI    @EA54C6,118627,57000D003E00,87,13,62,
04/05/2023 11:14:03.242,3003,JAVI    @EA54C6,118634,9201F1018201,402,497,386,
04/05/2023 11:14:03.285,3046,JAVI    @EA54C6,118640,E8FE4DFDC8FD,-280,-691,-568,
04/05/2023 11:14:03.333,3094,JAVI    @EA54C6,118646,2DFE09FCCC01,-467,-1015,460,
