Log start on,2023-02-13 19:44:41
Feature,Gyroscope
Nodes,JAVI    @EA54C6, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
13/02/2023 19:44:41.970,48,JAVI    @EA54C6,15037,B60340FA96FA,95.0,-147.2,-138.6,
13/02/2023 19:44:42.058,136,JAVI    @EA54C6,15043,D5FDD7FB30FA,-55.5,-106.5,-148.8,
13/02/2023 19:44:42.102,180,JAVI    @EA54C6,15049,720454FF09FF,113.8,-17.2,-24.7,
13/02/2023 19:44:42.150,228,JAVI    @EA54C6,15055,DC07B2024103,201.2,69.0,83.3,
13/02/2023 19:44:42.196,274,JAVI    @EA54C6,15062,CCFF0E07CB04,-5.2,180.6,122.7,
13/02/2023 19:44:42.237,315,JAVI    @EA54C6,15068,8AFEF008BE06,-37.4,228.8,172.6,
13/02/2023 19:44:42.281,359,JAVI    @EA54C6,15074,25FC4C0A0708,-98.7,263.6,205.5,
13/02/2023 19:44:42.329,407,JAVI    @EA54C6,15080,55FCA7090D09,-93.9,247.1,231.7,
13/02/2023 19:44:42.385,463,JAVI    @EA54C6,15087,85FB3F078006,-114.7,185.5,166.4,
13/02/2023 19:44:42.420,498,JAVI    @EA54C6,15093,680165002FFE,36.0,10.1,-46.5,
13/02/2023 19:44:42.516,594,JAVI    @EA54C6,15099,1DFE79FC25FC,-48.3,-90.3,-98.7,
13/02/2023 19:44:42.569,647,JAVI    @EA54C6,15105,8AF369FCA3F7,-319.0,-91.9,-214.1,
13/02/2023 19:44:42.612,690,JAVI    @EA54C6,15112,5A03DCFC92FB,85.8,-80.4,-113.4,
13/02/2023 19:44:42.646,724,JAVI    @EA54C6,15118,9703E3FDABFD,91.9,-54.1,-59.7,
13/02/2023 19:44:42.689,767,JAVI    @EA54C6,15124,2EFC70FFEEFD,-97.8,-14.4,-53.0,
13/02/2023 19:44:42.734,812,JAVI    @EA54C6,15130,DA0269FF85FF,73.0,-15.1,-12.3,
13/02/2023 19:44:42.779,857,JAVI    @EA54C6,15137,39FF73FFF0FE,-19.9,-14.1,-27.2,
13/02/2023 19:44:42.824,902,JAVI    @EA54C6,15143,830136FF00FF,38.7,-20.2,-25.6,
13/02/2023 19:44:42.870,948,JAVI    @EA54C6,15149,4D00A3FE42FE,7.7,-34.9,-44.6,
13/02/2023 19:44:43.010,1088,JAVI    @EA54C6,15155,8500C0FDBEFD,13.3,-57.6,-57.8,
