Log start on,2023-02-16 18:46:23
Feature,Accelerometer
Nodes,JAVI    @EA54C6, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
16/02/2023 18:46:23.428,26,JAVI    @EA54C6,14856,4DF8F0FEA9FF,-1971,-272,-87,
16/02/2023 18:46:23.510,108,JAVI    @EA54C6,14869,F2F8D9F88302,-1806,-1831,643,
16/02/2023 18:46:23.559,157,JAVI    @EA54C6,14875,DAF86DFA5402,-1830,-1427,596,
16/02/2023 18:46:23.645,243,JAVI    @EA54C6,14881,F2F97601E500,-1550,374,229,
16/02/2023 18:46:23.695,293,JAVI    @EA54C6,14887,DFFB02FCE6FE,-1057,-1022,-282,
16/02/2023 18:46:23.737,335,JAVI    @EA54C6,14894,52FCF300C400,-942,243,196,
16/02/2023 18:46:23.780,378,JAVI    @EA54C6,14900,F9FB79FEF5FF,-1031,-391,-11,
16/02/2023 18:46:23.829,427,JAVI    @EA54C6,14906,48FC59FFC4FF,-952,-167,-60,
16/02/2023 18:46:23.873,471,JAVI    @EA54C6,14912,31FCB4FFBBFF,-975,-76,-69,
16/02/2023 18:46:23.970,568,JAVI    @EA54C6,14919,2DFCDEFE8EFF,-979,-290,-114,
16/02/2023 18:46:23.979,577,JAVI    @EA54C6,14925,E1FB9D00CAFF,-1055,157,-54,
16/02/2023 18:46:24.010,608,JAVI    @EA54C6,14931,51FB92FF82FF,-1199,-110,-126,
16/02/2023 18:46:24.108,705,JAVI    @EA54C6,14937,75FA37007000,-1419,55,112,
16/02/2023 18:46:24.144,742,JAVI    @EA54C6,14944,ABF95F003FFF,-1621,95,-193,
16/02/2023 18:46:24.188,786,JAVI    @EA54C6,14950,32F888015AFD,-1998,392,-678,
16/02/2023 18:46:24.234,832,JAVI    @EA54C6,14956,DBF9E8001FFF,-1573,232,-225,
16/02/2023 18:46:24.278,876,JAVI    @EA54C6,14962,62FD1DFCF8FE,-670,-995,-264,
16/02/2023 18:46:24.325,923,JAVI    @EA54C6,14969,DBFF4D0258FF,-37,589,-168,
16/02/2023 18:46:24.369,967,JAVI    @EA54C6,14975,DAFF5C009AFF,-38,92,-102,
16/02/2023 18:46:24.413,1011,JAVI    @EA54C6,14981,80FEF6000D00,-384,246,13,
16/02/2023 18:46:24.514,1112,JAVI    @EA54C6,14987,ECFBEC001C00,-1044,236,28,
16/02/2023 18:46:24.546,1144,JAVI    @EA54C6,14994,43F8FAFDECFF,-1981,-518,-20,
16/02/2023 18:46:24.594,1192,JAVI    @EA54C6,15000,45F82BFB1601,-1979,-1237,278,
16/02/2023 18:46:24.642,1240,JAVI    @EA54C6,15006,50F920F99A01,-1712,-1760,410,
16/02/2023 18:46:24.739,1337,JAVI    @EA54C6,15012,32F88EFCF904,-1998,-882,1273,
16/02/2023 18:46:24.760,1358,JAVI    @EA54C6,15019,32F8ADFECA03,-1998,-339,970,
16/02/2023 18:46:24.771,1369,JAVI    @EA54C6,15025,8DFCE8FB3FFE,-883,-1048,-449,
16/02/2023 18:46:24.817,1415,JAVI    @EA54C6,15031,91FC7F028A01,-879,639,394,
16/02/2023 18:46:24.860,1458,JAVI    @EA54C6,15037,C4FB8FFD68FF,-1084,-625,-152,
16/02/2023 18:46:24.904,1502,JAVI    @EA54C6,15044,53FC0400EAFF,-941,4,-22,
16/02/2023 18:46:25.040,1638,JAVI    @EA54C6,15050,34FC16FFE3FF,-972,-234,-29,
16/02/2023 18:46:25.043,1641,JAVI    @EA54C6,15056,03FC7EFFDCFF,-1021,-130,-36,
16/02/2023 18:46:25.085,1683,JAVI    @EA54C6,15062,A4FB6A0070FF,-1116,106,-144,
16/02/2023 18:46:25.131,1729,JAVI    @EA54C6,15069,0BFBA9FF8DFF,-1269,-87,-115,
16/02/2023 18:46:25.175,1773,JAVI    @EA54C6,15075,59FAA7004900,-1447,167,73,
16/02/2023 18:46:25.220,1818,JAVI    @EA54C6,15081,32F8E900D9FD,-1998,233,-551,
16/02/2023 18:46:25.266,1864,JAVI    @EA54C6,15087,DCF8AF02CEFD,-1828,687,-562,
16/02/2023 18:46:25.310,1908,JAVI    @EA54C6,15094,A6FCF6FDD9FE,-858,-522,-295,
16/02/2023 18:46:25.356,1954,JAVI    @EA54C6,15100,74FE8000B7FD,-396,128,-585,
16/02/2023 18:46:25.446,2044,JAVI    @EA54C6,15106,020085026300,2,645,99,
16/02/2023 18:46:25.490,2088,JAVI    @EA54C6,15112,18FE66001900,-488,102,25,
16/02/2023 18:46:25.580,2178,JAVI    @EA54C6,15119,EBFC3702F900,-789,567,249,
16/02/2023 18:46:25.582,2180,JAVI    @EA54C6,15125,4CF9B7FFBAFF,-1716,-73,-70,
16/02/2023 18:46:25.625,2223,JAVI    @EA54C6,15131,32F893FBEA00,-1998,-1133,234,
16/02/2023 18:46:25.675,2273,JAVI    @EA54C6,15137,77F9CCFA5E03,-1673,-1332,862,
16/02/2023 18:46:25.717,2315,JAVI    @EA54C6,15144,AAF905F9DC01,-1622,-1787,476,
16/02/2023 18:46:25.762,2360,JAVI    @EA54C6,15150,F8F8A3000901,-1800,163,265,
16/02/2023 18:46:25.807,2405,JAVI    @EA54C6,15156,FAFCF1FC36FF,-774,-783,-202,
16/02/2023 18:46:25.898,2496,JAVI    @EA54C6,15162,99FCD5FF5100,-871,-43,81,
16/02/2023 18:46:25.941,2539,JAVI    @EA54C6,15169,29FCC7FE3700,-983,-313,55,
16/02/2023 18:46:25.985,2583,JAVI    @EA54C6,15175,34FC8DFFE0FF,-972,-115,-32,
16/02/2023 18:46:26.030,2628,JAVI    @EA54C6,15181,35FC8BFFC8FF,-971,-117,-56,
16/02/2023 18:46:26.076,2674,JAVI    @EA54C6,15187,3FFC3CFFC5FF,-961,-196,-59,
16/02/2023 18:46:26.121,2719,JAVI    @EA54C6,15194,FCFB1F000300,-1028,31,3,
16/02/2023 18:46:26.211,2809,JAVI    @EA54C6,15200,89FBA8FF7AFF,-1143,-88,-134,
