Log start on,2023-02-16 19:10:53
Feature,Gyroscope
Nodes,JAVI    @EA54C6, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
16/02/2023 19:10:53.976,26,JAVI    @EA54C6,133163,C100ACFE0FFD,19.3,-34.0,-75.3,
16/02/2023 19:10:54.064,114,JAVI    @EA54C6,133169,A9FFC5FD31FC,-8.7,-57.1,-97.5,
16/02/2023 19:10:54.109,159,JAVI    @EA54C6,133176,EA009DFC17FB,23.4,-86.7,-125.7,
16/02/2023 19:10:54.156,206,JAVI    @EA54C6,133182,9E0231FB57F9,67.0,-123.1,-170.5,
16/02/2023 19:10:54.203,253,JAVI    @EA54C6,133188,FB04F9FB86F7,127.5,-103.1,-217.0,
16/02/2023 19:10:54.250,300,JAVI    @EA54C6,133194,67FF34FBADF7,-15.3,-122.8,-213.1,
16/02/2023 19:10:54.292,342,JAVI    @EA54C6,133201,CA07F0FEDEFD,199.4,-27.2,-54.6,
16/02/2023 19:10:54.389,439,JAVI    @EA54C6,133207,B8FB6E030303,-109.6,87.8,77.1,
16/02/2023 19:10:54.393,443,JAVI    @EA54C6,133213,91FC5C06390B,-87.9,162.8,287.3,
16/02/2023 19:10:54.426,476,JAVI    @EA54C6,133219,57FAE107DF0E,-144.9,201.7,380.7,
16/02/2023 19:10:54.472,522,JAVI    @EA54C6,133226,4F00C106950F,7.9,172.9,398.9,
16/02/2023 19:10:54.560,610,JAVI    @EA54C6,133232,3EFEC703C205,-45.0,96.7,147.4,
16/02/2023 19:10:54.606,656,JAVI    @EA54C6,133238,76F3D6FEC2F4,-321.0,-29.8,-287.8,
16/02/2023 19:10:54.654,704,JAVI    @EA54C6,133244,DA0190FB6AF6,47.4,-113.6,-245.4,
16/02/2023 19:10:54.695,745,JAVI    @EA54C6,133251,4A0258FE4BFA,58.6,-42.4,-146.1,
16/02/2023 19:10:54.746,796,JAVI    @EA54C6,133257,F0FF43FE31FD,-1.6,-44.5,-71.9,
16/02/2023 19:10:54.789,839,JAVI    @EA54C6,133263,6C00C0FD95FE,10.8,-57.6,-36.3,
16/02/2023 19:10:54.833,883,JAVI    @EA54C6,133269,73056FFE55FD,139.5,-40.1,-68.3,
16/02/2023 19:10:54.875,925,JAVI    @EA54C6,133276,C8FCA9FB03F6,-82.4,-111.1,-255.7,
16/02/2023 19:10:54.925,975,JAVI    @EA54C6,133282,7E020CFC1EF5,63.8,-101.2,-278.6,
16/02/2023 19:10:55.019,1069,JAVI    @EA54C6,133288,180916FE6BFD,232.8,-49.0,-66.1,
16/02/2023 19:10:55.059,1109,JAVI    @EA54C6,133294,3DF99902BF04,-173.1,66.5,121.5,
16/02/2023 19:10:55.099,1149,JAVI    @EA54C6,133301,26FB2B05270C,-124.2,132.3,311.1,
16/02/2023 19:10:55.145,1195,JAVI    @EA54C6,133307,D9027008E510,72.9,216.0,432.5,
16/02/2023 19:10:55.190,1240,JAVI    @EA54C6,133313,F5FF420B350D,-1.1,288.2,338.1,
16/02/2023 19:10:55.238,1288,JAVI    @EA54C6,133319,EBFC26010504,-78.9,29.4,102.9,
16/02/2023 19:10:55.282,1332,JAVI    @EA54C6,133326,B2F623FE88F9,-238.2,-47.7,-165.6,
16/02/2023 19:10:55.331,1381,JAVI    @EA54C6,133332,F90975FAB0F9,255.3,-141.9,-161.6,
16/02/2023 19:10:55.373,1423,JAVI    @EA54C6,133338,B8FC05FDB8F8,-84.0,-76.3,-186.4,
16/02/2023 19:10:55.469,1519,JAVI    @EA54C6,133344,3F02F3FDB2FC,57.5,-52.5,-84.6,
16/02/2023 19:10:55.506,1556,JAVI    @EA54C6,133351,DF0053FD0CFE,22.3,-68.5,-50.0,
16/02/2023 19:10:55.557,1607,JAVI    @EA54C6,133357,EB0212FED4FC,74.7,-49.4,-81.2,
16/02/2023 19:10:55.598,1648,JAVI    @EA54C6,133363,DAFDF4FB8AF6,-55.0,-103.6,-242.2,
16/02/2023 19:10:55.644,1694,JAVI    @EA54C6,133369,F40207FCEBF5,75.6,-101.7,-258.1,
