Log start on,2023-05-04 11:22:59
Feature,Accelerometer
Nodes,JAVI    @EA54C6, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
04/05/2023 11:22:59.326,26,JAVI    @EA54C6,185651,E3FBE3FE6900,-1053,-285,105,
04/05/2023 11:22:59.370,70,JAVI    @EA54C6,185657,FCFD87FED400,-516,-377,212,
04/05/2023 11:22:59.413,113,JAVI    @EA54C6,185663,0500B2FF5FFF,5,-78,-161,
04/05/2023 11:22:59.459,159,JAVI    @EA54C6,185669,B7FFB5002700,-73,181,39,
04/05/2023 11:22:59.505,205,JAVI    @EA54C6,185676,3F0130014601,319,304,326,
04/05/2023 11:22:59.549,249,JAVI    @EA54C6,185682,82FEAFFE2200,-382,-337,34,
04/05/2023 11:22:59.641,341,JAVI    @EA54C6,185688,08003EFCA300,8,-962,163,
04/05/2023 11:22:59.687,387,JAVI    @EA54C6,185694,FFFDE1FE5D01,-513,-287,349,
04/05/2023 11:22:59.732,432,JAVI    @EA54C6,185701,13FB0EFCF7FF,-1261,-1010,-9,
04/05/2023 11:22:59.778,478,JAVI    @EA54C6,185707,8FF98BFC0300,-1649,-885,3,
04/05/2023 11:22:59.830,530,JAVI    @EA54C6,185713,32F89CFF5F00,-1998,-100,95,
04/05/2023 11:22:59.869,569,JAVI    @EA54C6,185719,3DF91500A5FF,-1731,21,-91,
04/05/2023 11:22:59.910,610,JAVI    @EA54C6,185726,32F883FFAA01,-1998,-125,426,
04/05/2023 11:22:59.958,658,JAVI    @EA54C6,185732,7FFA26FECEFE,-1409,-474,-306,
04/05/2023 11:23:00.002,702,JAVI    @EA54C6,185738,35F952001901,-1739,82,281,
04/05/2023 11:23:00.045,745,JAVI    @EA54C6,185744,5BFA91FE6300,-1445,-367,99,
04/05/2023 11:23:00.144,844,JAVI    @EA54C6,185751,5DFB92FDDCFF,-1187,-622,-36,
04/05/2023 11:23:00.189,889,JAVI    @EA54C6,185757,22FC12FF7500,-990,-238,117,
04/05/2023 11:23:00.225,925,JAVI    @EA54C6,185763,20FE5DFFA800,-480,-163,168,
04/05/2023 11:23:00.270,970,JAVI    @EA54C6,185769,B4FF65FF1400,-76,-155,20,
04/05/2023 11:23:00.316,1015,JAVI    @EA54C6,185776,D9FF8E00B9FF,-39,142,-71,
04/05/2023 11:23:00.359,1059,JAVI    @EA54C6,185782,0601E400AE01,262,228,430,
04/05/2023 11:23:00.404,1104,JAVI    @EA54C6,185788,DCFE34FE35FF,-292,-460,-203,
04/05/2023 11:23:00.453,1153,JAVI    @EA54C6,185794,97FF22FC6800,-105,-990,104,
04/05/2023 11:23:00.494,1194,JAVI    @EA54C6,185801,E9FCFAFEC500,-791,-262,197,
04/05/2023 11:23:00.591,1291,JAVI    @EA54C6,185807,EBFA59FC2C00,-1301,-935,44,
04/05/2023 11:23:00.632,1332,JAVI    @EA54C6,185813,9BF97CFBE2FF,-1637,-1156,-30,
04/05/2023 11:23:00.675,1375,JAVI    @EA54C6,185819,32F88DFF9CFF,-1998,-115,-100,
