Log start on,2023-02-16 19:03:59
Feature,Accelerometer
Nodes,JAVI    @EA54C6, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
16/02/2023 19:03:59.751,21,JAVI    @EA54C6,146915,5AF99D060106,-1702,1693,1537,
16/02/2023 19:03:59.797,67,JAVI    @EA54C6,146921,86FE29F9CDFE,-378,-1751,-307,
16/02/2023 19:03:59.887,157,JAVI    @EA54C6,146927,48FB97FF7501,-1208,-105,373,
16/02/2023 19:03:59.932,202,JAVI    @EA54C6,146934,01FC05FF68FF,-1023,-251,-152,
16/02/2023 19:03:59.984,254,JAVI    @EA54C6,146940,66FCE5FE20FF,-922,-283,-224,
16/02/2023 19:04:00.021,291,JAVI    @EA54C6,146946,1CFC6F00DAFF,-996,111,-38,
16/02/2023 19:04:00.068,338,JAVI    @EA54C6,146952,3EFCF0FEB4FF,-962,-272,-76,
16/02/2023 19:04:00.111,381,JAVI    @EA54C6,146959,EBFB2B00C6FF,-1045,43,-58,
16/02/2023 19:04:00.156,426,JAVI    @EA54C6,146965,93FB34FF55FF,-1133,-204,-171,
16/02/2023 19:04:00.203,473,JAVI    @EA54C6,146971,C0FA430036FF,-1344,67,-202,
16/02/2023 19:04:00.247,517,JAVI    @EA54C6,146977,CFF927002EFF,-1585,39,-210,
16/02/2023 19:04:00.341,611,JAVI    @EA54C6,146984,59F84C011BFE,-1959,332,-485,
16/02/2023 19:04:00.380,650,JAVI    @EA54C6,146990,93F85E03C4FF,-1901,862,-60,
16/02/2023 19:04:00.425,695,JAVI    @EA54C6,146996,C9FBFDFC3C00,-1079,-771,60,
16/02/2023 19:04:00.473,743,JAVI    @EA54C6,147002,31FF4000E7FC,-207,64,-793,
16/02/2023 19:04:00.516,786,JAVI    @EA54C6,147009,62006E039600,98,878,150,
16/02/2023 19:04:00.563,832,JAVI    @EA54C6,147015,4DFEF1FF6FFF,-435,-15,-145,
16/02/2023 19:04:00.606,876,JAVI    @EA54C6,147021,FEFC93015500,-770,403,85,
16/02/2023 19:04:00.651,921,JAVI    @EA54C6,147027,32F895006FFF,-1998,149,-145,
16/02/2023 19:04:00.696,966,JAVI    @EA54C6,147034,32F8B9FB9400,-1998,-1095,148,
16/02/2023 19:04:00.793,1063,JAVI    @EA54C6,147040,D2F832F89C01,-1838,-1998,412,
16/02/2023 19:04:00.839,1108,JAVI    @EA54C6,147046,4FF826FC9804,-1969,-986,1176,
16/02/2023 19:04:00.876,1146,JAVI    @EA54C6,147052,BCF8BD034305,-1860,957,1347,
16/02/2023 19:04:00.921,1191,JAVI    @EA54C6,147059,45FE89F9E2FF,-443,-1655,-30,
16/02/2023 19:04:00.969,1239,JAVI    @EA54C6,147065,C5FB18017C01,-1083,280,380,
16/02/2023 19:04:01.014,1284,JAVI    @EA54C6,147071,FAFB3BFF93FF,-1030,-197,-109,
16/02/2023 19:04:01.059,1329,JAVI    @EA54C6,147077,5EFCDAFFCDFF,-930,-38,-51,
16/02/2023 19:04:01.101,1371,JAVI    @EA54C6,147084,23FCA8FFF2FF,-989,-88,-14,
16/02/2023 19:04:01.148,1418,JAVI    @EA54C6,147090,26FC45FFD6FF,-986,-187,-42,
16/02/2023 19:04:01.242,1512,JAVI    @EA54C6,147096,C0FB2300CBFF,-1088,35,-53,
16/02/2023 19:04:01.282,1552,JAVI    @EA54C6,147102,79FB50FF66FF,-1159,-176,-154,
16/02/2023 19:04:01.328,1598,JAVI    @EA54C6,147109,B5FA33009DFF,-1355,51,-99,
16/02/2023 19:04:01.371,1641,JAVI    @EA54C6,147115,A8F944004BFF,-1624,68,-181,
16/02/2023 19:04:01.418,1687,JAVI    @EA54C6,147121,42F81101DCFD,-1982,273,-548,
16/02/2023 19:04:01.463,1733,JAVI    @EA54C6,147127,3FF9BB017100,-1729,443,113,
16/02/2023 19:04:01.507,1777,JAVI    @EA54C6,147134,0EFED7FD78FE,-498,-553,-392,
16/02/2023 19:04:01.552,1822,JAVI    @EA54C6,147140,5EFF3502D4FD,-162,565,-556,
16/02/2023 19:04:01.597,1867,JAVI    @EA54C6,147146,ACFFD10296FF,-84,721,-106,
16/02/2023 19:04:01.695,1965,JAVI    @EA54C6,147152,85FDD7FFA4FF,-635,-41,-92,
16/02/2023 19:04:01.733,2002,JAVI    @EA54C6,147159,DFFBDE016600,-1057,478,102,
16/02/2023 19:04:01.777,2047,JAVI    @EA54C6,147165,32F8500060FF,-1998,80,-160,
16/02/2023 19:04:01.824,2094,JAVI    @EA54C6,147171,32F8FFFBF600,-1998,-1025,246,
16/02/2023 19:04:01.866,2136,JAVI    @EA54C6,147177,F7F832F8BD01,-1801,-1998,445,
16/02/2023 19:04:01.912,2182,JAVI    @EA54C6,147184,1CFB5AFF2900,-1252,-166,41,
16/02/2023 19:04:01.955,2225,JAVI    @EA54C6,147190,9AF9C7FD18FF,-1638,-569,-232,
16/02/2023 19:04:02.001,2271,JAVI    @EA54C6,147196,7EFC51FBB5FE,-898,-1199,-331,
16/02/2023 19:04:02.049,2319,JAVI    @EA54C6,147202,98FC7A02B301,-872,634,435,
16/02/2023 19:04:02.149,2419,JAVI    @EA54C6,147209,CCFB83FD43FF,-1076,-637,-189,
16/02/2023 19:04:02.186,2456,JAVI    @EA54C6,147215,58FC0C00D5FF,-936,12,-43,
16/02/2023 19:04:02.234,2504,JAVI    @EA54C6,147221,29FC9BFE67FF,-983,-357,-153,
16/02/2023 19:04:02.270,2540,JAVI    @EA54C6,147227,25FC2B0097FF,-987,43,-105,
16/02/2023 19:04:02.317,2587,JAVI    @EA54C6,147234,6AFB52FF09FF,-1174,-174,-247,
16/02/2023 19:04:02.418,2688,JAVI    @EA54C6,147240,17FB71005CFF,-1257,113,-164,
16/02/2023 19:04:02.425,2695,JAVI    @EA54C6,147246,CAF986003900,-1590,134,57,
16/02/2023 19:04:02.451,2721,JAVI    @EA54C6,147252,77F8DA00C2FE,-1929,218,-318,
16/02/2023 19:04:02.497,2767,JAVI    @EA54C6,147259,32F8580463FD,-1998,1112,-669,
16/02/2023 19:04:02.587,2857,JAVI    @EA54C6,147265,4CFA88FE8DFE,-1460,-376,-371,
16/02/2023 19:04:02.639,2909,JAVI    @EA54C6,147271,76FF08FFFCFB,-138,-248,-1028,
