Log start on,2023-02-16 19:03:59
Feature,Magnetometer
Nodes,JAVI    @EA54C6, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
16/02/2023 19:03:59.752,22,JAVI    @EA54C6,146915,9FFE67FEC100,-353,-409,193,
16/02/2023 19:03:59.797,67,JAVI    @EA54C6,146921,C7FE21FED400,-313,-479,212,
16/02/2023 19:03:59.888,158,JAVI    @EA54C6,146927,E1FE00FEAF00,-287,-512,175,
16/02/2023 19:03:59.932,202,JAVI    @EA54C6,146934,F0FEF0FDAF00,-272,-528,175,
16/02/2023 19:03:59.984,254,JAVI    @EA54C6,146940,F3FEE6FDA200,-269,-538,162,
16/02/2023 19:04:00.021,291,JAVI    @EA54C6,146946,F8FEE3FD9E00,-264,-541,158,
16/02/2023 19:04:00.068,338,JAVI    @EA54C6,146952,F9FEE0FD9800,-263,-544,152,
16/02/2023 19:04:00.111,381,JAVI    @EA54C6,146959,08FFD5FD9100,-248,-555,145,
16/02/2023 19:04:00.156,426,JAVI    @EA54C6,146965,0DFFCDFD8900,-243,-563,137,
16/02/2023 19:04:00.203,473,JAVI    @EA54C6,146971,27FFC0FD7E00,-217,-576,126,
16/02/2023 19:04:00.247,517,JAVI    @EA54C6,146977,52FFA6FD7300,-174,-602,115,
16/02/2023 19:04:00.345,615,JAVI    @EA54C6,146984,91FF96FD5700,-111,-618,87,
16/02/2023 19:04:00.381,651,JAVI    @EA54C6,146990,DAFF8FFD3500,-38,-625,53,
16/02/2023 19:04:00.425,695,JAVI    @EA54C6,146996,2A0072FD4C00,42,-654,76,
16/02/2023 19:04:00.473,743,JAVI    @EA54C6,147002,36008CFD2500,54,-628,37,
16/02/2023 19:04:00.517,787,JAVI    @EA54C6,147009,0600AFFDF4FF,6,-593,-12,
16/02/2023 19:04:00.563,833,JAVI    @EA54C6,147015,B5FFB2FDFEFF,-75,-590,-2,
16/02/2023 19:04:00.606,876,JAVI    @EA54C6,147021,54FFDDFD1600,-172,-547,22,
16/02/2023 19:04:00.652,922,JAVI    @EA54C6,147027,F5FE16FE4A00,-267,-490,74,
16/02/2023 19:04:00.696,966,JAVI    @EA54C6,147034,A9FE65FE8A00,-343,-411,138,
16/02/2023 19:04:00.793,1063,JAVI    @EA54C6,147040,8FFEA5FEC500,-369,-347,197,
16/02/2023 19:04:00.842,1112,JAVI    @EA54C6,147046,90FE9BFEC200,-368,-357,194,
16/02/2023 19:04:00.876,1146,JAVI    @EA54C6,147052,A2FE5EFEAD00,-350,-418,173,
16/02/2023 19:04:00.921,1191,JAVI    @EA54C6,147059,C5FE22FEB800,-315,-478,184,
16/02/2023 19:04:00.969,1239,JAVI    @EA54C6,147065,E1FE03FE9600,-287,-509,150,
16/02/2023 19:04:01.014,1284,JAVI    @EA54C6,147071,EEFEF1FD8C00,-274,-527,140,
16/02/2023 19:04:01.060,1330,JAVI    @EA54C6,147077,F1FEE4FD9800,-271,-540,152,
16/02/2023 19:04:01.101,1371,JAVI    @EA54C6,147084,F2FEE5FD9100,-270,-539,145,
16/02/2023 19:04:01.148,1418,JAVI    @EA54C6,147090,FBFEE8FD8800,-261,-536,136,
16/02/2023 19:04:01.243,1513,JAVI    @EA54C6,147096,06FFE3FD8300,-250,-541,131,
16/02/2023 19:04:01.282,1552,JAVI    @EA54C6,147102,11FFD3FD7B00,-239,-557,123,
16/02/2023 19:04:01.329,1599,JAVI    @EA54C6,147109,2DFFBDFD6A00,-211,-579,106,
16/02/2023 19:04:01.371,1641,JAVI    @EA54C6,147115,5FFFA7FD6E00,-161,-601,110,
16/02/2023 19:04:01.418,1688,JAVI    @EA54C6,147121,8FFF95FD5100,-113,-619,81,
16/02/2023 19:04:01.463,1733,JAVI    @EA54C6,147127,DCFF93FD2200,-36,-621,34,
16/02/2023 19:04:01.508,1778,JAVI    @EA54C6,147134,2A007AFD3C00,42,-646,60,
16/02/2023 19:04:01.552,1822,JAVI    @EA54C6,147140,36008EFD1C00,54,-626,28,
16/02/2023 19:04:01.597,1867,JAVI    @EA54C6,147146,F5FFB4FDEAFF,-11,-588,-22,
16/02/2023 19:04:01.695,1965,JAVI    @EA54C6,147152,9CFFBEFD0300,-100,-578,3,
16/02/2023 19:04:01.733,2003,JAVI    @EA54C6,147159,2FFFF3FD1300,-209,-525,19,
16/02/2023 19:04:01.777,2047,JAVI    @EA54C6,147165,D5FE35FE5400,-299,-459,84,
16/02/2023 19:04:01.824,2094,JAVI    @EA54C6,147171,97FE78FE9F00,-361,-392,159,
16/02/2023 19:04:01.866,2136,JAVI    @EA54C6,147177,86FEB0FED500,-378,-336,213,
16/02/2023 19:04:01.912,2182,JAVI    @EA54C6,147184,91FE8BFECB00,-367,-373,203,
16/02/2023 19:04:01.955,2225,JAVI    @EA54C6,147190,ADFE4AFEC400,-339,-438,196,
16/02/2023 19:04:02.001,2271,JAVI    @EA54C6,147196,CDFE0DFEC700,-307,-499,199,
16/02/2023 19:04:02.050,2320,JAVI    @EA54C6,147202,EAFEFFFD9500,-278,-513,149,
16/02/2023 19:04:02.150,2420,JAVI    @EA54C6,147209,E8FEEEFD9D00,-280,-530,157,
16/02/2023 19:04:02.186,2456,JAVI    @EA54C6,147215,EFFEEEFD9400,-273,-530,148,
16/02/2023 19:04:02.236,2506,JAVI    @EA54C6,147221,FDFEEAFD8600,-259,-534,134,
16/02/2023 19:04:02.271,2541,JAVI    @EA54C6,147227,04FFE3FD8A00,-252,-541,138,
16/02/2023 19:04:02.317,2588,JAVI    @EA54C6,147234,04FFE0FD8500,-252,-544,133,
16/02/2023 19:04:02.419,2689,JAVI    @EA54C6,147240,1CFFD3FD6800,-228,-557,104,
16/02/2023 19:04:02.426,2696,JAVI    @EA54C6,147246,46FFC3FD6300,-186,-573,99,
16/02/2023 19:04:02.451,2721,JAVI    @EA54C6,147252,80FFA2FD4E00,-128,-606,78,
16/02/2023 19:04:02.497,2767,JAVI    @EA54C6,147259,C1FF9AFD2300,-63,-614,35,
16/02/2023 19:04:02.588,2858,JAVI    @EA54C6,147265,140087FD3500,20,-633,53,
16/02/2023 19:04:02.640,2910,JAVI    @EA54C6,147271,390084FD2C00,57,-636,44,
16/02/2023 19:04:02.678,2948,JAVI    @EA54C6,147277,1E00A9FDECFF,30,-599,-20,
16/02/2023 19:04:02.722,2992,JAVI    @EA54C6,147284,D1FFB8FDEAFF,-47,-584,-22,
16/02/2023 19:04:02.765,3035,JAVI    @EA54C6,147290,6EFFD5FD0000,-146,-555,0,
16/02/2023 19:04:02.812,3082,JAVI    @EA54C6,147296,06FF24FE4200,-250,-476,66,
16/02/2023 19:04:02.860,3130,JAVI    @EA54C6,147302,A6FE71FE8C00,-346,-399,140,
16/02/2023 19:04:02.900,3170,JAVI    @EA54C6,147309,88FEA7FED300,-376,-345,211,
16/02/2023 19:04:02.949,3219,JAVI    @EA54C6,147315,8DFE96FEDA00,-371,-362,218,
16/02/2023 19:04:03.047,3317,JAVI    @EA54C6,147321,9FFE63FEAF00,-353,-413,175,
16/02/2023 19:04:03.089,3359,JAVI    @EA54C6,147327,C4FE1AFEC300,-316,-486,195,
16/02/2023 19:04:03.126,3396,JAVI    @EA54C6,147334,D3FEFBFD9A00,-301,-517,154,
16/02/2023 19:04:03.172,3442,JAVI    @EA54C6,147340,EDFEF0FD9800,-275,-528,152,
16/02/2023 19:04:03.216,3486,JAVI    @EA54C6,147346,FAFEEAFD9400,-262,-534,148,
16/02/2023 19:04:03.261,3531,JAVI    @EA54C6,147352,F2FEE7FD8A00,-270,-537,138,
16/02/2023 19:04:03.306,3576,JAVI    @EA54C6,147359,F8FEEAFD8700,-264,-534,135,
16/02/2023 19:04:03.353,3623,JAVI    @EA54C6,147365,04FFDCFD7C00,-252,-548,124,
16/02/2023 19:04:03.397,3667,JAVI    @EA54C6,147371,16FFCEFD7000,-234,-562,112,
16/02/2023 19:04:03.501,3771,JAVI    @EA54C6,147377,3CFFC0FD6500,-196,-576,101,
16/02/2023 19:04:03.533,3803,JAVI    @EA54C6,147384,6FFFA5FD5500,-145,-603,85,
16/02/2023 19:04:03.577,3847,JAVI    @EA54C6,147390,B1FF9EFD2900,-79,-610,41,
16/02/2023 19:04:03.626,3896,JAVI    @EA54C6,147396,060087FD2600,6,-633,38,
16/02/2023 19:04:03.666,3936,JAVI    @EA54C6,147402,3F0081FD3400,63,-639,52,
16/02/2023 19:04:03.723,3993,JAVI    @EA54C6,147409,36009EFDFCFF,54,-610,-4,
16/02/2023 19:04:03.759,4029,JAVI    @EA54C6,147415,F6FFAEFDE5FF,-10,-594,-27,
16/02/2023 19:04:03.805,4075,JAVI    @EA54C6,147421,96FFBBFD0200,-106,-581,2,
16/02/2023 19:04:03.847,4117,JAVI    @EA54C6,147427,30FFE9FD2600,-208,-535,38,
16/02/2023 19:04:03.947,4217,JAVI    @EA54C6,147434,CEFE2CFE5600,-306,-468,86,
16/02/2023 19:04:03.991,4261,JAVI    @EA54C6,147440,98FE81FEB300,-360,-383,179,
16/02/2023 19:04:04.026,4296,JAVI    @EA54C6,147446,8AFEA4FEE500,-374,-348,229,
16/02/2023 19:04:04.084,4354,JAVI    @EA54C6,147452,9DFE72FED400,-355,-398,212,
16/02/2023 19:04:04.119,4389,JAVI    @EA54C6,147459,BBFE30FED800,-325,-464,216,
16/02/2023 19:04:04.161,4431,JAVI    @EA54C6,147465,DFFE04FEC000,-289,-508,192,
16/02/2023 19:04:04.207,4477,JAVI    @EA54C6,147471,E6FEF2FDAF00,-282,-526,175,
16/02/2023 19:04:04.253,4524,JAVI    @EA54C6,147477,FDFEE5FDAF00,-259,-539,175,
16/02/2023 19:04:04.297,4567,JAVI    @EA54C6,147484,F9FEEBFD9B00,-263,-533,155,
16/02/2023 19:04:04.406,4676,JAVI    @EA54C6,147490,03FFD4FDA600,-253,-556,166,
16/02/2023 19:04:04.441,4711,JAVI    @EA54C6,147496,06FFD6FD9B00,-250,-554,155,
16/02/2023 19:04:04.476,4746,JAVI    @EA54C6,147502,1CFFC6FD9200,-228,-570,146,
16/02/2023 19:04:04.522,4792,JAVI    @EA54C6,147509,37FFB8FD8600,-201,-584,134,
16/02/2023 19:04:04.570,4840,JAVI    @EA54C6,147515,5CFFA1FD7400,-164,-607,116,
16/02/2023 19:04:04.614,4884,JAVI    @EA54C6,147521,A3FF94FD5300,-93,-620,83,
16/02/2023 19:04:04.660,4930,JAVI    @EA54C6,147527,F2FF92FD2400,-14,-622,36,
16/02/2023 19:04:04.705,4975,JAVI    @EA54C6,147534,3F006CFD4A00,63,-660,74,
16/02/2023 19:04:04.748,5018,JAVI    @EA54C6,147540,420089FD2B00,66,-631,43,
16/02/2023 19:04:04.850,5120,JAVI    @EA54C6,147546,0E00ACFDEAFF,14,-596,-22,
16/02/2023 19:04:04.881,5151,JAVI    @EA54C6,147552,B3FFB8FD0100,-77,-584,1,
16/02/2023 19:04:04.926,5196,JAVI    @EA54C6,147559,4EFFDCFD1900,-178,-548,25,
16/02/2023 19:04:04.972,5242,JAVI    @EA54C6,147565,E7FE17FE6000,-281,-489,96,
