Log start on,2023-02-18 11:04:14
Feature,Magnetometer
Nodes,JAVI    @EA54C6, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
18/02/2023 11:04:14.907,42,JAVI    @EA54C6,232267,B4005800F100,180,88,241,
18/02/2023 11:04:15.006,141,JAVI    @EA54C6,232279,AA005400EB00,170,84,235,
18/02/2023 11:04:15.040,175,JAVI    @EA54C6,232285,B0005200E400,176,82,228,
18/02/2023 11:04:15.086,221,JAVI    @EA54C6,232292,AD005A00F200,173,90,242,
18/02/2023 11:04:15.134,269,JAVI    @EA54C6,232298,AC005C00F000,172,92,240,
18/02/2023 11:04:15.187,322,JAVI    @EA54C6,232304,AF005A00EA00,175,90,234,
18/02/2023 11:04:15.271,406,JAVI    @EA54C6,232310,B3005700F500,179,87,245,
18/02/2023 11:04:15.314,449,JAVI    @EA54C6,232317,B0005B00F400,176,91,244,
18/02/2023 11:04:15.362,497,JAVI    @EA54C6,232323,AB005A00ED00,171,90,237,
18/02/2023 11:04:15.403,538,JAVI    @EA54C6,232329,A7005E00EC00,167,94,236,
18/02/2023 11:04:15.447,582,JAVI    @EA54C6,232335,AB005F00E900,171,95,233,
18/02/2023 11:04:15.493,628,JAVI    @EA54C6,232342,B0004D00EF00,176,77,239,
18/02/2023 11:04:15.537,672,JAVI    @EA54C6,232348,AA005C00F500,170,92,245,
18/02/2023 11:04:15.582,717,JAVI    @EA54C6,232354,AB005800E900,171,88,233,
18/02/2023 11:04:15.629,764,JAVI    @EA54C6,232360,B0005E00F300,176,94,243,
18/02/2023 11:04:15.674,809,JAVI    @EA54C6,232367,AA005D00ED00,170,93,237,
18/02/2023 11:04:15.720,855,JAVI    @EA54C6,232373,B1005F00F200,177,95,242,
18/02/2023 11:04:15.819,954,JAVI    @EA54C6,232379,B7005D00F800,183,93,248,
18/02/2023 11:04:15.859,994,JAVI    @EA54C6,232385,B2005B00F200,178,91,242,
18/02/2023 11:04:15.897,1032,JAVI    @EA54C6,232392,AE005A00EF00,174,90,239,
18/02/2023 11:04:15.945,1080,JAVI    @EA54C6,232398,B2006200EC00,178,98,236,
18/02/2023 11:04:15.990,1125,JAVI    @EA54C6,232404,B0006000EF00,176,96,239,
18/02/2023 11:04:16.031,1166,JAVI    @EA54C6,232410,B5005A00EE00,181,90,238,
18/02/2023 11:04:16.083,1218,JAVI    @EA54C6,232417,B3005800F200,179,88,242,
18/02/2023 11:04:16.135,1270,JAVI    @EA54C6,232423,B2005700EE00,178,87,238,
18/02/2023 11:04:16.169,1304,JAVI    @EA54C6,232429,B5005300EB00,181,83,235,
18/02/2023 11:04:16.270,1405,JAVI    @EA54C6,232435,AD005C00E600,173,92,230,
18/02/2023 11:04:16.303,1438,JAVI    @EA54C6,232442,B1005D00F600,177,93,246,
18/02/2023 11:04:16.348,1483,JAVI    @EA54C6,232448,B2005F00E900,178,95,233,
18/02/2023 11:04:16.445,1580,JAVI    @EA54C6,232454,B3005C00F100,179,92,241,
18/02/2023 11:04:16.451,1586,JAVI    @EA54C6,232460,AD005400F000,173,84,240,
18/02/2023 11:04:16.487,1622,JAVI    @EA54C6,232467,AB005D00E600,171,93,230,
18/02/2023 11:04:16.527,1662,JAVI    @EA54C6,232473,B1005600F600,177,86,246,
18/02/2023 11:04:16.573,1708,JAVI    @EA54C6,232479,B2005D00EE00,178,93,238,
18/02/2023 11:04:16.621,1756,JAVI    @EA54C6,232485,B2005900F900,178,89,249,
18/02/2023 11:04:16.711,1846,JAVI    @EA54C6,232492,B5005D00EC00,181,93,236,
18/02/2023 11:04:16.769,1904,JAVI    @EA54C6,232498,B3005200EC00,179,82,236,
18/02/2023 11:04:16.797,1932,JAVI    @EA54C6,232504,AE005400F200,174,84,242,
18/02/2023 11:04:16.845,1980,JAVI    @EA54C6,232510,B2005800F200,178,88,242,
18/02/2023 11:04:16.893,2028,JAVI    @EA54C6,232517,B0005700E600,176,87,230,
18/02/2023 11:04:16.934,2069,JAVI    @EA54C6,232523,B5005300F200,181,83,242,
18/02/2023 11:04:16.981,2116,JAVI    @EA54C6,232529,B5005600F500,181,86,245,
18/02/2023 11:04:17.022,2157,JAVI    @EA54C6,232535,B3005600EF00,179,86,239,
18/02/2023 11:04:17.071,2206,JAVI    @EA54C6,232542,B0005B00FA00,176,91,250,
18/02/2023 11:04:17.166,2301,JAVI    @EA54C6,232548,AD005A00F100,173,90,241,
18/02/2023 11:04:17.225,2360,JAVI    @EA54C6,232554,AE005B00EC00,174,91,236,
18/02/2023 11:04:17.249,2384,JAVI    @EA54C6,232560,B5005000EF00,181,80,239,
18/02/2023 11:04:17.293,2428,JAVI    @EA54C6,232567,AE005600F400,174,86,244,
18/02/2023 11:04:17.339,2474,JAVI    @EA54C6,232573,B4005C00ED00,180,92,237,
18/02/2023 11:04:17.384,2519,JAVI    @EA54C6,232579,B5005000E200,181,80,226,
18/02/2023 11:04:17.430,2565,JAVI    @EA54C6,232585,AB005900F200,171,89,242,
18/02/2023 11:04:17.474,2609,JAVI    @EA54C6,232592,B0005A00EB00,176,90,235,
18/02/2023 11:04:17.520,2655,JAVI    @EA54C6,232598,B1005500F000,177,85,240,
18/02/2023 11:04:17.616,2751,JAVI    @EA54C6,232604,AF005500EB00,175,85,235,
18/02/2023 11:04:17.653,2788,JAVI    @EA54C6,232610,AD005900EA00,173,89,234,
18/02/2023 11:04:17.698,2833,JAVI    @EA54C6,232617,AF005100F100,175,81,241,
18/02/2023 11:04:17.745,2880,JAVI    @EA54C6,232623,AB004D00F200,171,77,242,
